Row #	Gene	Transcripts	OMIM phenotype ID	Disorder group	Inheritance mode (AR/AR-AD)
622	FAM126A	ENST00000432176, ENST00000409923, ENST00000409763	610532	ID	AR
623	FAM161A	ENST00000404929, ENST00000405894	606068	Blindness	AR-AD
624	FAM20A	ENST00000592554, ENST00000619787	204690	Multi-system	AR
625	FAM20C	ENST00000313766, ENST00000471328	259775	ID	AR
626	FAN1	ENST00000561594, ENST00000362065, ENST00000561607, ENST00000565466	614817	Multi-system	AR
627	FANCA	ENST00000389301, ENST00000568369, ENST00000389302, ENST00000563673, ENST00000534992, ENST00000543736	227650	Multi-system	AR
628	FANCC	ENST00000289081, ENST00000375305, ENST00000490972	227645	Multi-system	AR
629	FANCD2	ENST00000287647, ENST00000383807, ENST00000419585, ENST00000431693, ENST00000625535	227646	Multi-system	AR
630	FANCE	ENST00000229769	600901	Multi-system	AR
631	FANCF	ENST00000327470	603467	Multi-system	AR-AD
632	FANCG	ENST00000378643	614082	Multi-system	AR-AD
633	FANCI	ENST00000300027, ENST00000310775, ENST00000567996	609053	Multi-system	AR
634	FANCL	ENST00000403295, ENST00000233741, ENST00000402135, ENST00000403676	614083	Multi-system	AR
635	FAR1	ENST00000354817, ENST00000532502	616154	Metabolic-ID	AR
636	FARS2	ENST00000324331, ENST00000274680	614946	Metabolic	AR
637	FARSB	ENST00000281828	613658	Metabolic-ID	AR
638	FAT4	ENST00000394329, ENST00000335110	615546	ID	AR
639	FBP1	ENST00000375326, ENST00000415431	229700	Metabolic	AR
640	FBXL4	ENST00000369244, ENST00000229971	615471	Metabolic-ID	AR
641	FBXO7	ENST00000266087, ENST00000452138, ENST00000397426	260300	Neuromuscular	AR
642	FCGR3A	ENST00000367969, ENST00000443193, ENST00000436743, ENST00000367967, ENST00000638849	615707	Immune system	AR
643	FCN3	ENST00000270879, ENST00000354982	613860	Immune system	AR
644	FDXR	ENST00000293195, ENST00000544854, ENST00000420580, ENST00000581530, ENST00000583917, ENST00000442102, ENST00000582944, ENST00000413947	617717	Metabolic	AR
645	FECH	ENST00000262093, ENST00000382873	177000	Metabolic	AR
646	FERMT1	ENST00000217289, ENST00000536936	173650	Dermatologic	AR
647	FERMT3	ENST00000279227, ENST00000345728	612840	Multi-system	AR
648	FEZF1	ENST00000442488, ENST00000427185	616030	Endocrine	AR
649	FGA	ENST00000302053, ENST00000403106, ENST00000622532	202400	Hematologic	AR-AD
650	FGB	ENST00000302068, ENST00000509493	202400	Hematologic	AR
651	FGD4	ENST00000534526, ENST00000531134, ENST00000427716, ENST00000546442, ENST00000525053, ENST00000472289	609311	Neuromuscular	AR
652	FGF3	ENST00000334134	610706	Multi-system	AR
653	FGG	ENST00000404648, ENST00000405164, ENST00000336098, ENST00000407946	202400	Hematologic	AR
654	FH	ENST00000366560	606812	Metabolic-ID	AR-AD
655	FIBP	ENST00000338369, ENST00000357519, ENST00000533045	617107	ID	AR
656	FIG4	ENST00000230124, ENST00000368941	611228	Multi-system	AR-AD
657	FKBP10	ENST00000321562	610968	Multi-system	AR
658	FKBP14	ENST00000222803	614557	Multi-system	AR
659	FKRP	ENST00000318584, ENST00000391909	613153	Metabolic-ID	AR
660	FKTN	ENST00000602661, ENST00000223528, ENST00000448551, ENST00000357998	611615	Metabolic-ID	AR
661	FLAD1	ENST00000368433, ENST00000315144, ENST00000368432, ENST00000368431, ENST00000292180, ENST00000295530, ENST00000368428	255100	Metabolic	AR
662	FLNB	ENST00000490882, ENST00000295956, ENST00000358537, ENST00000429972, ENST00000493452, ENST00000419752	272460	Skeletal	AR-AD
663	FLVCR1	ENST00000366971	609033	ID	AR
664	FLVCR2	ENST00000238667, ENST00000539311, ENST00000553587, ENST00000556856, ENST00000555027	225790	ID	AR
665	FMN2	ENST00000319653, ENST00000545751, ENST00000543681	616193	ID	AR
666	FMO3	ENST00000367755	602079	Metabolic	AR
667	FOLR1	ENST00000312293, ENST00000393681, ENST00000393679, ENST00000393676	613068	Metabolic-ID	AR
668	FOXE1	ENST00000375123	241850	Multi-system	AR
669	FOXE3	ENST00000335071	610256	Multi-system	AR
670	FOXI1	ENST00000306268, ENST00000449804	600791	Multi-system	AR
671	FOXN1	ENST00000579795, ENST00000226247	601705	Multi-system	AR
672	FOXRED1	ENST00000263578, ENST00000532125	256000	Metabolic-ID	AR
673	FRAS1	ENST00000325942, ENST00000512123	219000	ID	AR
674	FREM1	ENST00000422223, ENST00000380880, ENST00000380894	248450	Multi-system	AR-AD
675	FREM2	ENST00000280481	219000	ID	AR-AD
676	FRRS1L	ENST00000561981	616981	ID	AR
677	FSHB	ENST00000254122, ENST00000417547, ENST00000533718	229070	Endocrine	AR
678	FSHR	ENST00000406846, ENST00000304421	233300	Endocrine	AR-AD
679	FTCD	ENST00000291670, ENST00000397748, ENST00000397743, ENST00000397746	229100	Metabolic-ID	AR
680	FTO	ENST00000636491, ENST00000636218, ENST00000471389, ENST00000637001, ENST00000637969, ENST00000640179, ENST00000431610, ENST00000460382, ENST00000463855	612938	ID	AR
681	FUCA1	ENST00000374479	230000	Metabolic-ID	AR
682	FUT8	ENST00000360689, ENST00000394586, ENST00000557164, ENST00000358307	618005	ID	AR
683	FXN	ENST00000396364, ENST00000377270, ENST00000396366, ENST00000498653	229300	Metabolic	AR
684	FYCO1	ENST00000535325, ENST00000296137, ENST00000438446	610019	Blindness	AR
685	FZD6	ENST00000522566, ENST00000358755, ENST00000523739	614157	Dermatologic	AR
686	G6PC	ENST00000592383, ENST00000253801, ENST00000585489	232200	Metabolic	AR
687	G6PC3	ENST00000269097	612541	Metabolic	AR
688	GAA	ENST00000390015, ENST00000302262	232300	Metabolic	AR
689	GALC	ENST00000261304, ENST00000544807, ENST00000393569, ENST00000393568	245200	Metabolic-ID	AR
690	GALE	ENST00000617979, ENST00000374497	230350	Metabolic-ID	AR
691	GALK1	ENST00000225614, ENST00000588479	230200	Metabolic	AR
692	GALNS	ENST00000268695, ENST00000568311, ENST00000569433	253000	Metabolic	AR
693	GALNT3	ENST00000392701, ENST00000409882	211900	Metabolic	AR
694	GALT	ENST00000450095, ENST00000378842	230400	Metabolic-ID	AR
695	GAMT	ENST00000252288, ENST00000640762, ENST00000447102	612736	Metabolic-ID	AR
696	GAN	ENST00000568107	256850	Multi-system	AR
697	GAS8	ENST00000536122, ENST00000268699, ENST00000620723	616726	Cilia+Kidney	AR
698	GATM	ENST00000396659, ENST00000558336	612718	Metabolic-ID	AR
699	GBA	ENST00000368373, ENST00000327247, ENST00000427500, ENST00000428024	608013	Metabolic	AR
700	GBA2	ENST00000378103, ENST00000378088, ENST00000378094	614409	Metabolic	AR
701	GBE1	ENST00000429644, ENST00000489715	232500	Metabolic	AR
702	GCDH	ENST00000222214, ENST00000591470	231670	Metabolic-ID	AR
703	GCK	ENST00000616242, ENST00000403799, ENST00000395796, ENST00000345378, ENST00000437084	606176	Metabolic	AR-AD
704	GCLC	ENST00000229416, ENST00000616923, ENST00000514004	230450	Metabolic	AR
705	GCNT2	ENST00000410107, ENST00000495262, ENST00000379597, ENST00000316170, ENST00000265012, ENST00000640968	116700	Blindness	AR-AD
706	GDAP1	ENST00000220822, ENST00000434412	607706	Neuromuscular	AR-AD
707	GDF1	ENST00000247005	208530		AR-AD
708	GDF5	ENST00000374369, ENST00000374372	201250	Multi-system	AR-AD
709	GEMIN4	ENST00000319004, ENST00000437269, ENST00000576778	617913	ID	AR
710	GFER	ENST00000569451, ENST00000248114, ENST00000567719	613076	Metabolic	AR-AD
711	GFM1	ENST00000486715, ENST00000478576, ENST00000264263	609060	Metabolic-ID	AR
712	GFPT1	ENST00000357308, ENST00000361060	610542	Metabolic	AR
713	GGCX	ENST00000233838, ENST00000430215	277450	Multi-system	AR
714	GH1	ENST00000351388, ENST00000458650, ENST00000323322, ENST00000342364, ENST00000617086	262400	Skeletal	AR-AD
715	GHR	ENST00000230882, ENST00000620156, ENST00000618088, ENST00000615111, ENST00000612382, ENST00000612626, ENST00000537449, ENST00000357703, ENST00000622294	262500	Skeletal	AR-AD
716	GHRHR	ENST00000326139, ENST00000409904, ENST00000409316, ENST00000611037	612781	Skeletal	AR-AD
717	GHSR	ENST00000241256, ENST00000427970	604271	Skeletal	AR-AD
718	GIF	ENST00000257248	261000	Metabolic	AR
719	GINS1	ENST00000262460	617827	Immune system	AR
720	GIPC3	ENST00000322315	601869	Deafness	AR
721	GJA1	ENST00000282561	218400	ID	AR-AD
722	GJB2	ENST00000382848, ENST00000382844	220290	Deafness	AR-AD
723	GJB6	ENST00000241124, ENST00000400066, ENST00000400065, ENST00000356192, ENST00000636852	612645	Multi-system	AR-AD
724	GJC2	ENST00000366714	608804	ID	AR-AD
725	GLB1	ENST00000307363, ENST00000399402, ENST00000307377	230500	Metabolic-ID	AR
726	GLDC	ENST00000321612, ENST00000639639, ENST00000638661, ENST00000639318, ENST00000640208	605899	Metabolic-ID	AR
727	GLDN	ENST00000335449, ENST00000396399, ENST00000612989	617194	Neuromuscular	AR
728	GLE1	ENST00000309971, ENST00000372770	253310	Neuromuscular	AR
729	GLIS2	ENST00000262366, ENST00000433375	611498	Cilia+Kidney	AR-AD
730	GLIS3	ENST00000381971, ENST00000324333	610199	ID	AR
731	GLRA1	ENST00000274576, ENST00000455880	149400	Metabolic	AR-AD
732	GLRB	ENST00000264428, ENST00000541722, ENST00000512619, ENST00000509282	614619	Neuromuscular	AR
733	GLRX5	ENST00000331334	205950	Metabolic	AR
734	GLUL	ENST00000331872, ENST00000417584, ENST00000311223, ENST00000339526	610015	Metabolic	AR
735	GLYCTK	ENST00000461183, ENST00000305690, ENST00000473032, ENST00000471180, ENST00000436784, ENST00000477382	220120	Metabolic-ID	AR
736	GM2A	ENST00000357164	272750	Metabolic-ID	AR
737	GMPPA	ENST00000313597, ENST00000373917, ENST00000358215, ENST00000373908, ENST00000341142, ENST00000622191	615510	Metabolic-ID	AR
738	GMPPB	ENST00000480687, ENST00000308375, ENST00000308388	615350	Metabolic-ID	AR
739	GNAT2	ENST00000351050	613856	Blindness	AR-AD
740	GNB3	ENST00000229264, ENST00000435982	617024	Blindness	AR
741	GNB5	ENST00000261837, ENST00000396335, ENST00000358784, ENST00000560116	617173	ID	AR
742	GNE	ENST00000396594, ENST00000539815, ENST00000543356, ENST00000539208, ENST00000447283, ENST00000377902	605820	Metabolic	AR-AD
743	GNMT	ENST00000372808	606664	Metabolic	AR
744	GNPAT	ENST00000366647	222765	Metabolic-ID	AR
745	GNPTAB	ENST00000299314, ENST00000549940, ENST00000392919, ENST00000549165	252500	Metabolic-ID	AR
746	GNPTG	ENST00000204679, ENST00000527137	252605	Metabolic-ID	AR
747	GNRHR	ENST00000226413, ENST00000420975	146110	Endocrine	AR
748	GNS	ENST00000418919, ENST00000258145, ENST00000543646, ENST00000542058	252940	Metabolic-ID	AR
749	GORAB	ENST00000367763, ENST00000367762	231070	Multi-system	AR
750	GOSR2	ENST00000640608, ENST00000638634, ENST00000623037, ENST00000225567, ENST00000415811, ENST00000576910, ENST00000640051, ENST00000573224, ENST00000640621, ENST00000638892, ENST00000638838, ENST00000638216, ENST00000575949, ENST00000640269, ENST00000640443, ENST00000638697, ENST00000640007, ENST00000640711, ENST00000640495, ENST00000638374, ENST00000639287, ENST00000640138, ENST00000640068, ENST00000393456, ENST00000639031	614018	Neuromuscular	AR
751	GP1BA	ENST00000329125, ENST00000611961	231200	Hematologic	AR-AD
752	GP1BB	ENST00000366425	231200	Hematologic	AR
753	GP6	ENST00000310373, ENST00000333884, ENST00000417454	614201	Hematologic	AR
754	GP9	ENST00000307395	231200	Hematologic	AR
755	GPAA1	ENST00000355091, ENST00000361036	617810	ID	AR
756	GPC6	ENST00000377047, ENST00000617456	258315	Skeletal	AR
757	GPD1	ENST00000301149, ENST00000548814	614480	Metabolic	AR
758	GPHN	ENST00000315266, ENST00000478722, ENST00000459628, ENST00000543237	615501	Metabolic-ID	AR
759	GPI	ENST00000415930, ENST00000356487, ENST00000586425	613470	Metabolic	AR
760	GPIHBP1	ENST00000622500	615947	Metabolic	AR
761	GPNMB	ENST00000258733, ENST00000381990, ENST00000409458	617920	Dermatologic	AR
762	GPR179	ENST00000616987, ENST00000621958	614565	Blindness	AR
763	GPSM2	ENST00000406462, ENST00000264126	604213	ID	AR
764	GPT2	ENST00000340124, ENST00000440783	616281	Metabolic-ID	AR
765	GRHPR	ENST00000616066, ENST00000354171, ENST00000589115, ENST00000611653, ENST00000588919, ENST00000622390	250220	Skeletal	AR
766	GPX4	ENST00000318158, ENST00000607784	260000	Metabolic	AR
767	GRID2	ENST00000282020, ENST00000510992, ENST00000611049	616204	ID	AR
768	GRIK2	ENST00000369138, ENST00000413795, ENST00000421544, ENST00000358361, ENST00000318991, ENST00000369134, ENST00000369137	611092	ID	AR
769	GRIP1	ENST00000398016, ENST00000359742	617667	ID	AR
770	GRK1	ENST00000335678, ENST00000545304	613411	Blindness	AR-AD
771	GRM1	ENST00000492807, ENST00000361719, ENST00000355289, ENST00000282753, ENST00000507907	614831	ID	AR-AD
772	GRM6	ENST00000231188, ENST00000517717	257270	Blindness	AR
773	GRN	ENST00000053867, ENST00000589265, ENST00000639447	614706	ID	AR-AD
774	GRXCR1	ENST00000399770	613285	Deafness	AR
775	GSC	ENST00000238558	602471	Skeletal	AR
776	GSS	ENST00000216951, ENST00000451957	266130	Metabolic-ID	AR
777	GTF2E2	ENST00000355904	616943	Dermatologic	AR
778	GTF2H5	ENST00000607778	616395	ID	AR-AD
779	GTPBP2	ENST00000307114, ENST00000307126	617988	Metabolic-ID	AR
780	GTPBP3	ENST00000361619, ENST00000324894, ENST00000358792, ENST00000600625	616198	Metabolic-ID	AR
781	GUCY1A3	ENST00000506455, ENST00000621234, ENST00000511108, ENST00000511507, ENST00000455639, ENST00000393832, ENST00000296518, ENST00000513574	615750		AR
782	GUCY2C	ENST00000261170	614665		AR-AD
783	GUCY2D	ENST00000254854	215500	Blindness	AR-AD
784	GUSB	ENST00000304895, ENST00000421103	253220	Metabolic-ID	AR
785	GYG1	ENST00000345003, ENST00000627418, ENST00000296048, ENST00000483267, ENST00000484197	613507	Metabolic	AR
786	GYS1	ENST00000323798, ENST00000263276	611556	Metabolic	AR
787	GYS2	ENST00000261195	240600	Metabolic	AR
788	GZF1	ENST00000338121, ENST00000377051	617662	Skeletal	AR
789	H6PD	ENST00000377403, ENST00000602477	604931	Metabolic	AR
790	HAAO	ENST00000294973	617660	Metabolic	AR
791	HACE1	ENST00000262903, ENST00000369125	616756	ID	AR
792	HADH	ENST00000505878, ENST00000603302, ENST00000309522, ENST00000638621, ENST00000403312, ENST00000626637	231530	Metabolic-ID	AR
793	HADHA	ENST00000380649	609016	Metabolic-ID	AR
794	HADHB	ENST00000537713, ENST00000317799, ENST00000405867, ENST00000545822	609015	Metabolic	AR
795	HAMP	ENST00000598398, ENST00000222304	613313	Hematologic	AR
796	HARS	ENST00000504156, ENST00000457527, ENST00000431330, ENST00000504366, ENST00000307633, ENST00000438307, ENST00000415192	614504	Multi-system	AR
797	HAX1	ENST00000328703, ENST00000457918, ENST00000483970, ENST00000532105	610738	ID	AR
798	HBB	ENST00000335295	603903	Hematologic	AR-AD
799	HELLS	ENST00000239026, ENST00000371332, ENST00000348459, ENST00000394036, ENST00000394045, ENST00000630929	616911	Immune system	AR
800	HERC1	ENST00000443617	617011	ID	AR
801	HERC2	ENST00000261609	615516	ID	AR
802	HES7	ENST00000541682, ENST00000317814	613686	Skeletal	AR
803	HESX1	ENST00000295934, ENST00000473921	182230	ID	AR-AD
804	HEXA	ENST00000268097, ENST00000566304, ENST00000567159, ENST00000567213	272800	Metabolic-ID	AR
805	HEXB	ENST00000511181, ENST00000261416, ENST00000509579	268800	Metabolic-ID	AR
806	HFE	ENST00000353147, ENST00000397022, ENST00000352392, ENST00000349999, ENST00000317896, ENST00000357618, ENST00000470149, ENST00000336625, ENST00000461397, ENST00000488199, ENST00000309234	235200	Metabolic	AR
807	HFE2	ENST00000636675, ENST00000357836, ENST00000336751, ENST00000634927, ENST00000497365, ENST00000475797	602390	Multi-system	AR
808	HFM1	ENST00000370425	615724	Endocrine	AR
809	HGD	ENST00000283871	203500	Metabolic	AR
810	HGF	ENST00000222390, ENST00000457544, ENST00000444829, ENST00000453411, ENST00000423064, ENST00000354224, ENST00000453018	608265	Deafness	AR
811	HGSNAT	ENST00000379644, ENST00000521576	252930	Metabolic-ID	AR
812	HIBCH	ENST00000392332, ENST00000359678, ENST00000410045	250620	Metabolic-ID	AR
813	HIKESHI	ENST00000533986, ENST00000278483, ENST00000618164	616881	ID	AR
814	HINT1	ENST00000304043, ENST00000508488, ENST00000506908, ENST00000513012	137200	Neuromuscular	AR
815	HLCS	ENST00000612277, ENST00000336648, ENST00000399120	253270	Metabolic-ID	AR
816	HMGCL	ENST00000374490, ENST00000436439	246450	Metabolic-ID	AR
817	HMGCS2	ENST00000369406, ENST00000544913	605911	Metabolic	AR
818	HMOX1	ENST00000216117	614034	Metabolic	AR-AD
819	HMX1	ENST00000506970, ENST00000400677	612109	Blindness	AR
820	HNMT	ENST00000410115, ENST00000329366, ENST00000280097, ENST00000280096	616739	ID	AR
821	HOGA1	ENST00000370646, ENST00000370647	613616	Metabolic	AR-AD
822	HOXA1	ENST00000343060, ENST00000355633	601536	ID	AR-AD
823	HOXB1	ENST00000239174, ENST00000577092	614744	Neuromuscular	AR
824	HOXC13	ENST00000243056	614931	Dermatologic	AR
825	HPCA	ENST00000373467	224500	Neuromuscular	AR
826	HPD	ENST00000289004, ENST00000543163	276710	Metabolic-ID	AR-AD
827	HPGD	ENST00000296522, ENST00000541923, ENST00000542498, ENST00000296521, ENST00000510901, ENST00000422112, ENST00000504433, ENST00000361490	259100	Multi-system	AR
828	HPS1	ENST00000325103, ENST00000613394, ENST00000338546	203300	Multi-system	AR
829	HPS3	ENST00000296051, ENST00000460120	614072	Multi-system	AR
830	HPS4	ENST00000398145, ENST00000402105, ENST00000336873	614073	Multi-system	AR
831	HPS5	ENST00000396253, ENST00000349215, ENST00000438420, ENST00000537258, ENST00000531848	614074	Multi-system	AR
832	HPS6	ENST00000299238	614075	Multi-system	AR
833	HPSE2	ENST00000370549, ENST00000370552, ENST00000628193, ENST00000370546, ENST00000404542, ENST00000614306	236730	Neuromuscular	AR
834	HR	ENST00000381418, ENST00000312841	203655	Dermatologic	AR-AD
835	HSD11B2	ENST00000326152	218030	Metabolic	AR
836	HSD17B3	ENST00000375263, ENST00000375262	264300	Metabolic	AR
837	HSD17B4	ENST00000256216, ENST00000515320, ENST00000510025, ENST00000504811, ENST00000414835, ENST00000513628, ENST00000509514	261515	Metabolic-ID	AR
838	HSD3B2	ENST00000543831, ENST00000369416	201810	Metabolic	AR
839	HSD3B7	ENST00000262520, ENST00000297679	607765	Metabolic	AR
840	HSPG2	ENST00000374695	224410	Multi-system	AR
841	HTRA1	ENST00000368984	600142	Dermatologic	AR-AD
842	HTRA2	ENST00000258080, ENST00000352222	617248	Metabolic-ID	AR
843	HYDIN	ENST00000393567, ENST00000321489, ENST00000538248, ENST00000541601, ENST00000288168	608647	Cilia+Kidney	AR
844	HYLS1	ENST00000356438, ENST00000425380, ENST00000526028	236680	ID	AR
845	IARS	ENST00000375643, ENST00000627121, ENST00000443024, ENST00000447699, ENST00000375627	617093	ID	AR
846	IBA57	ENST00000366711	616451	Metabolic	AR
847	ICK	ENST00000350082, ENST00000356971	612651	Neuromuscular	AR
848	ICOS	ENST00000316386, ENST00000435193	607594	Immune system	AR
849	IDH3B	ENST00000474315, ENST00000380843, ENST00000380851, ENST00000613370	612572	Metabolic	AR-AD
850	IDUA	ENST00000247933, ENST00000514224	607014	Metabolic-ID	AR
851	IER3IP1	ENST00000256433, ENST00000639845	614231	ID	AR
852	IFNGR1	ENST00000367739	209950	Immune system	AR-AD
853	IFNGR2	ENST00000290219, ENST00000381995, ENST00000405436	614889	Immune system	AR
854	IFT122	ENST00000431818, ENST00000440957, ENST00000347300, ENST00000296266, ENST00000507564, ENST00000504021, ENST00000349441, ENST00000348417	218330	Multi-system	AR
855	IFT140	ENST00000361339, ENST00000426508	266920	Multi-system	AR
856	IFT172	ENST00000260570, ENST00000359466, ENST00000416524	615630	ID	AR
857	IFT43	ENST00000314067, ENST00000238628, ENST00000556742	614099	Multi-system	AR
858	IFT52	ENST00000373030, ENST00000373039	617102	Cilia+Kidney	AR
859	IFT80	ENST00000326448, ENST00000483465, ENST00000496589	611263	Multi-system	AR
860	IFT81	ENST00000552912, ENST00000242591, ENST00000361948	617895	ID	AR
861	IGF1	ENST00000456098, ENST00000337514, ENST00000392904, ENST00000424202, ENST00000307046	608747	ID	AR
862	IGFALS	ENST00000215539, ENST00000415638, ENST00000568221	615961	Skeletal	AR-AD
863	IGFBP7	ENST00000295666, ENST00000514062	614224	Multi-system	AR
864	IGHM	ENST00000637539	601495	Immune system	AR
865	IGHMBP2	ENST00000255078, ENST00000539224	604320	Neuromuscular	AR
866	IGKC	ENST00000390237	614102	Immune system	AR
867	IGLL1	ENST00000249053, ENST00000330377	613500	Immune system	AR
868	IHH	ENST00000295731	607778	Skeletal	AR-AD
869	IL10RA	ENST00000227752	613148	Immune system	AR
870	IL10RB	ENST00000290200	612567	Immune system	AR
871	IL11RA	ENST00000555003, ENST00000441545, ENST00000318041, ENST00000602473	614188	Skeletal	AR
872	IL12B	ENST00000231228	614890	Immune system	AR
873	IL12RB1	ENST00000593993, ENST00000600835, ENST00000322153	614891	Immune system	AR
874	IL17RA	ENST00000319363, ENST00000612619	613953	Multi-system	AR
875	IL17RC	ENST00000383812, ENST00000416074, ENST00000295981, ENST00000403601, ENST00000455057, ENST00000413608	616445	Immune system	AR
876	IL1RN	ENST00000409052, ENST00000361779, ENST00000259206, ENST00000354115, ENST00000409930, ENST00000337929	612852	Multi-system	AR
877	IL21R	ENST00000564089, ENST00000395754	615207	Immune system	AR
878	IL2RA	ENST00000379959, ENST00000379954, ENST00000256876	606367	Immune system	AR
879	IL36RN	ENST00000346807, ENST00000393200	614204	Multi-system	AR
880	IL7R	ENST00000303115, ENST00000506850, ENST00000511982, ENST00000273691	608971	Immune system	AR
881	ILDR1	ENST00000344209, ENST00000393631, ENST00000462014	609646	Deafness	AR
882	IMPA1	ENST00000256108, ENST00000311489, ENST00000449740	617323	ID	AR
883	IMPAD1	ENST00000262644	614078	Metabolic	AR
884	IMPG2	ENST00000193391	613581	Blindness	AR-AD
885	INPP5E	ENST00000371712	213300	Metabolic-ID	AR
886	INPP5K	ENST00000421807, ENST00000406424, ENST00000320345	617404	ID	AR
887	INPPL1	ENST00000298229, ENST00000538751, ENST00000541756	258480	Metabolic	AR
888	INSR	ENST00000341500, ENST00000302850	246200	Multi-system	AR-AD
889	INVS	ENST00000262457, ENST00000262456, ENST00000374921	602088	Multi-system	AR
890	IQCB1	ENST00000310864, ENST00000349820	609254	Multi-system	AR
891	IRAK4	ENST00000440781, ENST00000431837, ENST00000613694, ENST00000551736, ENST00000448290	610799	Immune system	AR-AD
892	IRX5	ENST00000394636, ENST00000560154, ENST00000620085, ENST00000320990	611174	ID	AR
893	ISCA1	ENST00000375991, ENST00000311534, ENST00000326094	617613	Metabolic	AR
894	ISCA2	ENST00000556816, ENST00000298818, ENST00000554924	616370	Metabolic-ID	AR
895	ISCU	ENST00000535729, ENST00000431221, ENST00000547005, ENST00000311893, ENST00000392807, ENST00000539593	255125	Metabolic	AR
896	ISG15	ENST00000624697, ENST00000379389	616126	Immune system	AR
897	ISPD	ENST00000407010, ENST00000399310	614643	Metabolic-ID	AR
898	ITCH	ENST00000374864, ENST00000535650, ENST00000262650	613385	Immune system	AR
899	ITGA2B	ENST00000262407	187800	Hematologic	AR-AD
900	ITGA3	ENST00000320031, ENST00000007722	614748	Multi-system	AR
901	ITGA6	ENST00000409532, ENST00000264107, ENST00000442250, ENST00000458358, ENST00000409080	226730	Multi-system	AR
902	ITGA7	ENST00000553804, ENST00000257879, ENST00000347027, ENST00000452168, ENST00000555728	613204	ID	AR
903	ITGA8	ENST00000378076	191830	Cilia+Kidney	AR
904	ITGB2	ENST00000397852, ENST00000397857, ENST00000397854, ENST00000355153, ENST00000397850, ENST00000302347, ENST00000397846	116920	Immune system	AR
905	ITGB3	ENST00000559488, ENST00000571680	273800	Hematologic	AR-AD
906	ITGB4	ENST00000579662, ENST00000200181, ENST00000450894, ENST00000449880	226650	Dermatologic	AR-AD
907	ITGB6	ENST00000283249, ENST00000620391, ENST00000428609, ENST00000409967, ENST00000409872	616221	Multi-system	AR
908	ITK	ENST00000422843	613011	Immune system	AR
909	ITPA	ENST00000380113, ENST00000455664, ENST00000399838	616647	Metabolic-ID	AR
910	IVD	ENST00000487418, ENST00000479013	243500	Metabolic-ID	AR
911	IYD	ENST00000229447, ENST00000344419, ENST00000392256, ENST00000392255, ENST00000500320, ENST00000425615	274800	ID	AR
912	JAGN1	ENST00000307768	616022	Multi-system	AR
913	JAK3	ENST00000458235, ENST00000534444, ENST00000527670	600802	Immune system	AR
914	JAM3	ENST00000299106, ENST00000441717	613730	ID	AR
915	JUP	ENST00000393930, ENST00000310706, ENST00000393931	601214	Multi-system	AR-AD
916	KANK2	ENST00000586659, ENST00000589359, ENST00000589894	616099	Multi-system	AR
917	KARS	ENST00000319410, ENST00000302445, ENST00000568378	613641	Metabolic	AR
918	KATNB1	ENST00000379661	616212	ID	AR
919	KCNE1	ENST00000432085, ENST00000621601, ENST00000611936, ENST00000337385, ENST00000399289, ENST00000399286, ENST00000416357, ENST00000399284	612347	Multi-system	AR-AD
920	KCNJ1	ENST00000392665, ENST00000392666, ENST00000440599, ENST00000324036, ENST00000392664	241200	Cilia+Kidney	AR
921	KCNJ10	ENST00000639408, ENST00000637644, ENST00000368089, ENST00000638728, ENST00000638868	600791	ID	AR
922	KCNJ11	ENST00000339994, ENST00000528731	601820	ID	AR-AD
923	KCNJ13	ENST00000233826, ENST00000409779, ENST00000410029	614186	Blindness	AR-AD
924	KCNQ1	ENST00000155840, ENST00000335475	220400	Multi-system	AR-AD
925	KCNV2	ENST00000382082	610356	Blindness	AR
926	KCTD7	ENST00000639828, ENST00000275532, ENST00000640385, ENST00000443322, ENST00000639879, ENST00000640851	611726	ID	AR
927	KERA	ENST00000266719	217300	Blindness	AR
928	KHDC3L	ENST00000370367	614293		AR
929	KIAA0586	ENST00000354386, ENST00000556134, ENST00000619722, ENST00000619416, ENST00000423743, ENST00000261244	616490	ID	AR
930	KIAA1109	ENST00000264501, ENST00000388738	617822	ID	AR
931	KIF14	ENST00000614960, ENST00000367350	617914;616258	ID	AR
932	KIF1BP	ENST00000361983, ENST00000638119, ENST00000626493	609460	ID	AR
933	KIF1C	ENST00000320785	611302	Neuromuscular	AR
934	KIF7	ENST00000394412	200990	ID	AR
935	KISS1R	ENST00000234371, ENST00000606939	614837	Endocrine	AR-AD
936	KIZ	ENST00000619574, ENST00000620891, ENST00000616848, ENST00000619189	615780	Blindness	AR
937	KLC2	ENST00000417856, ENST00000394067, ENST00000421552, ENST00000316924, ENST00000394078, ENST00000394066, ENST00000394065	609541	Neuromuscular	AR
938	KLHL40	ENST00000287777	615348	Neuromuscular	AR-AD
939	KLHL41	ENST00000284669	615731	Neuromuscular	AR
940	KLK4	ENST00000324041, ENST00000431178	204700	Multi-system	AR
941	KLKB1	ENST00000264690, ENST00000513864	612423	Hematologic	AR
942	KNL1	ENST00000346991, ENST00000527044, ENST00000399668	604321	ID	AR
943	KPTN	ENST00000338134	615637	ID	AR
944	KRT10	ENST00000269576	113800	Dermatologic	AR-AD
945	KRT14	ENST00000167586	601001	Dermatologic	AR-AD
946	KRT18	ENST00000388837, ENST00000550600, ENST00000388835	215600		AR
947	KRT5	ENST00000252242	601001	Dermatologic	AR-AD
